CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
2056,2025-03-12,"22929 Medina Harbor Suite 788
North Scottview, ME 92856",Kirbychester,NV,Mayotte,72197,13.48
796,2025-03-25,"4548 Jerry Loaf Apt. 012
East Joshuaview, SC 41419",Walkerberg,WV,American Samoa,64736,81.46
434,2025-03-10,"0621 Moody Wall Suite 192
Jenniferfurt, NJ 88202",Riceborough,WI,Svalbard & Jan Mayen Islands,63869,96.13
360,2025-01-15,"16398 Elizabeth Unions Apt. 957
New David, MH 96282",North Patricia,VA,Croatia,76855,36.51
3736,2025-01-24,"463 Jennifer Crest
Danielhaven, NE 59234",West Jacobtown,AR,Papua New Guinea,45237,27.64
4514,2025-01-29,"336 Kevin Plains Apt. 224
Port Carrie, IN 64661",Shellyland,CT,Saint Helena,13992,87.48
4340,2025-01-21,"226 Smith Lodge Suite 097
Dawnchester, FM 15581",Danafurt,KY,Palau,12728,33.25
3706,2025-04-12,"64978 Melissa Prairie
West Mary, RI 60601",Newtonbury,KY,Macao,61814,5.39
2445,2025-02-18,"870 Foley Rapid
Jacobmouth, FM 03553",Stevensfurt,SD,Yemen,11291,80.92
2227,2025-02-07,"328 Regina Isle Apt. 539
Robertstown, AS 64325",Johnsonchester,DE,Bosnia and Herzegovina,80772,74.29
4338,2025-02-28,"739 Bradley Street
East Natasha, GU 03247",East Samuel,OH,Romania,04067,63.8
949,2025-04-23,"886 Walton Stravenue
Lake Luke, MO 00538",Stevensshire,SD,Mexico,90169,84.52
1610,2025-04-08,"373 Mark Parks
New Linda, IL 72441",New Ambertown,FL,Yemen,68278,79.93
4893,2025-04-07,"Unit 0468 Box 0800
DPO AE 46806",West Michelleborough,VI,Somalia,58503,93.55
1905,2025-02-10,"6345 Alexander Loop
Port Robertville, GU 12612",Marcusfort,MP,Vanuatu,66324,24.41
2173,2025-03-03,"399 Ashley Alley
South Carolynview, IN 52950",Stevensonport,IA,Myanmar,38368,65.64
4235,2025-02-24,"8809 Kimberly Turnpike
Port Andrewfort, MA 51471",Lake Ryan,NE,Nepal,86305,89.41
1828,2025-01-09,"5173 Larry Motorway
Amandashire, PA 61206",Oneillville,MH,Saint Lucia,13480,24.2
4210,2025-01-26,"8650 Eric Lock Suite 908
Port Douglasville, PW 89536",Nicholston,WI,United Kingdom,03820,38.72
1091,2025-02-17,"4000 Martin Rapids
Jonesmouth, GU 90562",Danielton,TX,Egypt,55005,73.03
3080,2025-01-12,"2705 Timothy Course
Weissfurt, OH 07783",Michaelstad,MH,Bolivia,67767,89.25
895,2025-02-08,"858 Moran Throughway Apt. 336
Willisberg, MA 22472",West Omar,NM,Anguilla,69693,84.03
342,2025-01-08,"PSC 6294, Box 9115
APO AE 87277",Port Richardhaven,OK,United States Virgin Islands,12003,91.99
4099,2025-01-13,"891 Wall Creek
Lake Erinbury, IL 58757",Castanedaview,UT,North Macedonia,60819,83.93
4216,2025-02-19,"360 Jerry Drives
Zacharyberg, AZ 42242",Andreafurt,MS,Tanzania,64737,30.21
95,2025-01-11,"122 Duncan Viaduct Suite 806
Corybury, VT 75041",East Nathanielmouth,NV,Fiji,17081,44.18
1147,2025-02-20,"PSC 1995, Box 5773
APO AP 20764",East Ashleyberg,NM,Romania,24440,62.37
4694,2025-02-09,"2535 Clark Port Apt. 745
North Nicholas, WA 51131",South Jeffrey,RI,United States Virgin Islands,16910,17.79
2264,2025-01-27,"007 Christina Club Suite 135
North Jacob, MI 20590",Lake Cynthiaville,NM,Moldova,13929,84.7
4620,2025-02-21,"0056 Laurie Hills Apt. 124
South Marytown, PW 77386",South Emilyborough,IN,Burundi,73050,79.47
595,2025-02-01,"3938 Reese Rapids Suite 732
East Jeremy, MD 18058",Moranborough,CO,Uzbekistan,82252,22.11
1671,2025-04-18,"PSC 6433, Box 5570
APO AE 91859",Martinezhaven,SC,Madagascar,15572,8.44
416,2025-03-27,"748 Waters Alley
New Erica, CA 09320",New Shannon,MS,Uruguay,18853,53.3
1824,2025-04-14,"048 Guerra Rapid
Johnbury, NY 51930",Hullborough,CT,Central African Republic,41784,34.01
3833,2025-01-15,"6403 Knox Garden Apt. 653
South Jamie, SC 47277",Port Hannah,AZ,Liechtenstein,53617,88.02
